"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"VALUE";
"3";" ";"SJW";"SJW";"KREUZ1, KREUZ2, ROLLO";"SMD solder JUMPER";"";"";"";"";"";
"1";"0,4A";"SMD_FUSE_HOLDER";"SMD_FUSE_HOLDER";"F1";"";"";"";"";"";"";
"1";"1";"ESP8266-12EESP8266-ESP12E";"ESP8266-ESP12E";"MDL1";"ESP8266-12E with additional I/O and GPIO04/05 corrected";"";"";"";"";"";
"4";"100k";"R-EU_R1206";"R1206";"R1, R2, R3, R4";"RESISTOR, European symbol";"";"";"";"";"";
"4";"100n";"C-EUC0805";"C0805";"C1, C2, C7, C8";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"10k";"R-EU_R1206";"R1206";"R8, R9";"RESISTOR, European symbol";"";"";"";"";"";
"2";"1N4148";"DIODE-SOD323-W";"SOD323-W";"D1, D11";"DIODE";"";"";"";"";"";
"2";"2";"PINHD-1X2SMALL";"1X02_SMALL";"FLASH, IO";"PIN HEADER";"";"";"";"";"";
"2";"22µ";"C-EUC0805";"C0805";"C9, C11";"CAPACITOR, European symbol";"";"";"";"";"";
"1";"3";"PINHD-1X3SMALL";"1X03_SMALL";"UART";"PIN HEADER";"";"";"";"";"";
"1";"4";"PINHD-1X4SMALL";"1X04_SMALL";"I²C";"PIN HEADER";"";"";"";"";"";
"2";"4,7µ";"C-EUC0805";"C0805";"C5, C6";"CAPACITOR, European symbol";"";"";"";"";"";
"2";"47k";"R-EU_R1206";"R1206";"R5, R6";"RESISTOR, European symbol";"";"";"";"";"";
"2";"47µ";"CPOL-EUE2-5";"E2-5";"C3, C4";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";
"1";"600";"L-EUL3225P";"L3225P";"L1";"INDUCTOR, European symbol";"";"";"";"";"";
"1";"AMS1117-3.3";"PMIC-CJT1117-3.3(SOT223)";"SOT-223";"U2";"310030097";"";"CJT1117-3.3";"";"";"CJT1117-3.3-SOT223";
"2";"FTR-LYC5";"FTR-LYC5";"FTR-LYC";"K1, K2";"Schmales Netzrelais";"";"";"unknown";"unknown";"";
"1";"HLK-PM01";"HLK-PM01";"HLK-PM01";"U$1";"";"";"";"";"";"";
"2";"IRLML2502";"IRLML2502";"SOT23";"U$7, U$8";"";"";"";"";"";"";
"2";"LTV816S";"LTV816S";"SMD4";"OK1, OK2";"OPTO COUPLER";"";"";"unknown";"unknown";"";
"4";"RND_205-00276";"RND_205-00276";"RND205-00276";"U$2, U$3, U$4, U$5";"";"";"";"";"";"";
"1";"S14K275";"S14K275";"S14K275";"R7";"VARISTOR";"";"";"";"";"";
"1";"SMD-TASTER_REICHELT_KMR_231_G_LFS";"SMD-TASTER_REICHELT_KMR_231_G_LFS";"SMD-TASTER_REICHELT_KMR_231_G_LFS";"RST";"";"";"";"";"";"";
